sample,Glucose,Na2HPO4,KH2PO4,NaCl,NH4Cl,MgSO4,CaCl2
4_1,0.11916697,0.58775526,0.7768576,0.14302398,0.57983345,0.78552026,0.32838815
4_2,0.8662571,0.052521735,0.9382034,0.40442225,0.39015678,0.03025848,0.83547676
4_3,0.9119393,0.70523316,0.87671715,0.87722266,0.030778773,0.9522523,0.98276913
4_4,0.4552479,0.54736894,0.33060032,0.3354233,0.6520875,0.46422374,0.8732296
4_5,0.4119128,0.013147787,0.66020066,0.22662808,0.079671286,0.2654243,0.4356584
4_6,0.66481984,0.59510183,0.6242192,0.4729197,0.890319,0.55215496,0.9315146
4_7,0.8381303,0.473616,0.24958557,0.89094335,0.37161765,0.5396807,0.48623452
4_8,0.17882137,0.5250361,0.64775777,0.945482,0.13825189,0.07602557,0.51643854
4_9,0.9317246,0.11495905,0.5746656,0.6918652,0.8317088,0.8666796,0.022546772
4_10,0.73640704,0.38832998,0.67832637,0.5833688,0.42826214,0.21057136,0.9683091
