sample,Glucose,Na2HPO4,KH2PO4,NaCl,NH4Cl,MgSO4,CaCl2
1_1,0.6505782,0.27325034,0.13836443,0.6680003,0.04741219,0.18295276,0.72553706
1_2,0.75090367,0.5080553,0.052959993,0.032504488,0.8180419,0.19767022,0.3981548
1_3,0.8976011,0.41065994,0.36266366,0.197311,0.90688866,0.31361714,0.6733048
1_4,0.013572965,0.097821794,0.23145995,0.29405555,0.15194067,0.98514354,0.89107573
1_5,0.7179201,0.090414904,0.38446078,0.089039005,0.3178951,0.7206955,0.36906487
1_6,0.31825495,0.4025682,0.023368273,0.43381515,0.62374675,0.07820009,0.086840786
1_7,0.95527506,0.23425011,0.11646038,0.55974835,0.7086714,0.77690554,0.2953257
1_8,0.29884467,0.9080093,0.9701485,0.003242719,0.17638773,0.1294163,0.6492846
1_9,0.3380195,0.808249,0.46323723,0.2441594,0.29940975,0.22699848,0.90784186
1_10,0.017713463,0.69111663,0.28193986,0.10462194,0.96066797,0.8209555,0.102766514
