sample,Glucose,Na2HPO4,KH2PO4,NaCl,NH4Cl,MgSO4,CaCl2
0_1,0.2509308,0.21033335,0.2694803,0.82336146,0.7614666,0.51047647,0.9452661
0_2,0.96949846,0.89985627,0.63072723,0.3646388,0.35406077,0.39618972,0.110611275
0_3,0.3976893,0.87094957,0.084562704,0.9066028,0.9831173,0.87690926,0.21991333
0_4,0.5136454,0.6830649,0.44608435,0.5696239,0.20852457,0.29697105,0.43768352
0_5,0.15056682,0.9458648,0.41445506,0.44372505,0.12364941,0.62063456,0.178425
0_6,0.36628357,0.7290896,0.7240673,0.7387363,0.43904263,0.71696585,0.25757223
0_7,0.7989322,0.37360775,0.6920437,0.8525604,0.24468943,0.566734,0.19589297
0_8,0.5615793,0.4510267,0.80697036,0.26467207,0.8541427,0.9356949,0.15538725
0_9,0.07123299,0.29632634,0.47764838,0.9631106,0.48301998,0.41638398,0.015049776
0_10,0.9511374,0.5705574,0.43258056,0.87017936,0.3999136,0.91008294,0.71009964
