sample,Glucose,Na2HPO4,KH2PO4,NaCl,NH4Cl,MgSO4,CaCl2
2_1,0.469586,0.3185342,0.9063296,0.5304736,0.28576574,0.833384,0.5322349
2_2,0.5712216,0.9845508,0.20003189,0.1722954,0.40679133,0.85419023,0.59295297
2_3,0.8183431,0.81581473,0.2989668,0.7094024,0.54750955,0.64137256,0.5084646
2_4,0.67872596,0.1943251,0.92433286,0.15867582,0.19092093,0.6377334,0.06306265
2_5,0.29468247,0.25617322,0.54379886,0.3177983,0.99286646,0.059464727,0.34528956
2_6,0.18846141,0.03548037,0.34551466,0.61647207,0.57003945,0.14971825,0.20400858
2_7,0.5851258,0.3356376,0.25135103,0.49054268,0.7310902,0.9558761,0.41248524
2_8,0.79479265,0.96196175,0.7588505,0.5461252,0.928348,0.7462923,0.79866666
2_9,0.032061826,0.42685217,0.9552343,0.7846043,0.10215095,0.44393712,0.30281988
2_10,0.68836635,0.74515843,0.0664333,0.2783963,0.5094349,0.58752406,0.6256166
